FCVC,NCP,CH2O
2.524428,4.0,2.0
2.0,4.0,2.157395
3.0,3.0,2.0
2.971574,3.592415,2.894678
3.0,3.0,2.025279
3.0,3.754599,1.692112
3.0,3.566082,1.438398
3.0,3.725797,1.191401
1.0816,3.520555,1.016968
1.270448,3.731212,1.876915
1.344854,4.0,1.0
2.959658,3.0,1.0
2.725282,1.259803,1.0
2.844607,1.273128,1.69551
2.44004,3.0,2.0
2.432302,3.0,2.0
2.592247,3.304123,2.036764
2.449267,3.647154,1.266018
2.929889,3.0,2.792074
2.0,3.0,1.426874
2.015258,3.300666,1.315608
1.031149,3.0,1.963628
1.592183,3.535016,1.086391
1.21498,1.717608,1.179942
1.522001,3.0,1.98126
2.703436,2.884479,1.439962
2.362918,4.0,2.358172
3.0,3.626815,2.0
2.14084,4.0,2.931438
3.0,4.0,2.0
2.5596,4.0,2.0
2.336044,4.0,2.0
2.0,3.0,2.0
2.0,3.0,2.0
1.813234,3.0,1.274815
2.724285,3.0,1.0
3.0,3.0,1.28246
3.0,3.0,2.875583
3.0,1.0,1.387531
2.71897,1.473088,1.164644
3.0,1.0,1.848703
1.133844,3.0,1.325326
2.0,3.16645,2.278578
1.757466,3.0,1.153559
2.0,3.494849,2.976672
2.979383,3.0,2.975887
3.0,2.99321,2.702783
2.204914,2.127797,2.120292
3.0,3.0,2.949419
2.927218,1.0,1.0
2.88853,1.0,1.0
2.890535,3.90779,1.109115
3.0,3.699594,2.825629
3.0,3.179995,1.910378
2.0,1.075553,1.0
2.530066,3.0,1.965237
2.241606,3.0,1.846626
1.003566,3.238258,1.014634
2.652779,3.804944,1.60114
2.0,1.630846,2.975528
2.897899,3.0,1.835545
2.483979,3.762778,2.0
2.945967,3.0,2.953192
2.0,4.0,2.28525
2.478891,3.371832,2.004126
2.784464,4.0,1.0
1.005578,4.0,1.0
2.938031,2.705445,1.333807
2.842102,3.34175,2.0
2.0,3.0,2.685842
2.0,3.0,2.0
1.889199,2.217651,2.013605
3.0,4.0,2.0
2.943749,4.0,2.0
2.33998,3.0,2.0
3.0,2.893778,1.0
3.0,1.0,1.954889
1.950742,3.0,1.751723
2.277436,3.502604,2.891713
2.0,4.0,2.369627
2.371338,3.998766,2.263466
2.984425,3.0,2.044694
2.977018,3.193671,2.482933
2.663421,3.0,1.04111
3.0,1.69608,2.550307
2.753752,2.812377,2.346647
3.0,1.612747,2.566629
2.318355,1.082304,1.220365
2.594653,1.882158,1.916812
2.886157,2.326233,2.306821
3.0,3.0,2.924594
3.0,1.989398,2.241607
3.0,1.735493,2.318736
2.967853,1.0,1.131185
3.0,1.0,1.0
3.0,2.974568,1.145761
2.619835,1.0,1.198883
3.0,1.0,1.185062
3.0,1.0,1.0
3.0,3.715118,1.774576
3.0,3.489918,1.326694
1.053534,3.378859,1.0
3.0,3.263201,2.233274
3.0,3.994588,2.548527
2.530233,3.24934,2.387945
3.0,3.0,2.0
2.8813,3.087544,1.24818
2.824559,3.0,2.0
2.762325,1.163666,1.30491
2.070964,1.0,1.676975
2.68601,1.0,1.310074
2.794197,3.409363,1.543021
2.720701,3.0,2.0
2.880792,3.281391,1.960131
2.674431,3.0,2.453384
2.0,3.98525,2.654078
2.55996,3.0,1.990788
1.212908,3.207071,1.029703
1.140615,3.471536,1.0
2.562409,3.488342,1.67062
2.004146,3.443456,2.020764
2.690754,3.03779,2.212296
3.0,3.642802,1.995177
2.051283,2.645858,2.35752
2.19005,3.420618,1.356405
2.21498,2.64155,2.121251
2.91548,3.0,1.777486
2.708965,3.0,1.873004
2.853513,3.0,2.0
2.580872,3.887906,2.0
2.508835,3.435905,2.076933
2.0,3.747163,2.575535
2.896562,2.625475,2.839558
2.911877,3.098399,2.196405
2.910733,3.12544,2.204263
2.966126,3.96981,2.0
2.613249,3.712183,2.0
2.0,4.0,2.542415
3.0,3.0,2.00357
2.627031,3.832911,2.993448
3.0,3.0,2.009796
2.919751,3.576103,1.949308
2.494451,3.56544,1.491268
1.69427,3.266644,1.095417
1.601236,3.433908,1.055019
1.204855,3.531038,1.134658
1.052699,3.998618,1.0
2.910345,3.0,1.0
2.866383,1.226342,1.0
2.913486,1.060796,1.596212
2.432886,3.0,2.0
2.883745,3.595761,2.0
2.707666,3.737914,2.026547
2.919584,3.697831,1.147121
2.969205,3.21043,2.765876
2.486189,3.0,1.064378
1.642241,3.45259,1.099231
1.567101,3.0,1.994139
1.036414,3.205587,1.745959
1.649974,1.513835,1.549974
1.118436,3.0,1.997744
2.673638,2.779379,1.249074
2.120185,4.0,2.582165
3.0,3.732126,2.0
2.34222,3.937099,2.311791
2.86099,4.0,2.0
2.559571,3.047959,2.0
2.424977,4.0,2.0
1.786841,3.0,1.546856
1.303878,3.0,1.755497
1.889883,3.0,1.959531
2.984004,3.0,1.015249
3.0,2.975362,1.246822
3.0,3.0,2.487919
3.0,1.0,1.49681
2.749268,1.394539,1.322048
3.0,1.0,1.764055
1.202075,3.0,1.927976
2.0,3.131032,2.072194
1.871213,3.0,1.283738
2.341133,1.578521,2.0
2.0,1.0,2.115967
1.450218,3.985442,2.147746
2.204914,3.623364,1.815293
1.206276,3.0,2.406541
2.0,3.0,1.015677
2.81646,3.36313,2.722063
2.0,3.0,1.345298
2.0,3.0,1.825629
2.0,1.73762,2.207978
2.0,3.0,2.0
3.0,1.146052,1.074048
1.758394,3.981997,2.174248
2.0,1.9154,3.0
2.0,2.105616,1.456581
2.392665,3.0,2.951056
2.577427,1.0,2.0
2.0,1.0,2.803311
2.0,1.0,3.0
2.0,1.0,3.0
2.052152,3.0,1.972074
3.0,1.0,2.0
2.954996,3.714833,2.430918
3.0,3.0,2.229171
2.0,3.0,2.843777
2.0,3.691226,3.0
2.0,3.0,2.0
2.555401,3.292386,3.0
2.108711,3.0,2.746197
2.915279,1.104642,1.530046
1.570089,3.0,2.0
2.0,3.0,1.636326
2.0,3.0,1.701835
1.94313,3.559841,2.367996
2.714447,3.0,3.0
2.0,3.0,2.292073
2.903545,3.0,1.549931
2.0,3.0,1.0
3.0,3.654061,1.229915
1.75375,1.296156,2.0
2.543563,1.0,2.0
2.39728,2.656588,2.061062
3.0,2.809716,1.591425
2.0,2.77684,1.278231
2.37464,3.0,2.0
2.278644,1.0,2.628985
1.620845,1.0,2.0
2.0,1.999014,2.326165
2.823179,2.644692,1.226764
3.0,2.449723,2.0
3.0,3.0,1.174611
2.0,3.0,1.0
2.0,2.794156,2.377362
2.061952,4.0,2.426465
2.0,1.146794,3.0
2.0,1.131695,1.344539
2.838969,3.0,2.425927
2.568063,3.0,1.817983
3.0,3.0,1.205633
2.652958,2.488189,2.0
2.0,1.0,2.00876
2.0,1.0,2.069184
1.27785,3.999591,2.495944
2.0,3.0,1.957871
1.729824,3.612941,2.043703
1.452524,3.950553,2.109858
2.0,3.0,2.177386
2.0,3.0,2.168651
3.0,2.951837,2.112032
2.0,2.799979,1.081333
2.0,3.0,1.005727
2.0,3.0,2.0
2.0,3.0,2.0
2.0,2.228113,2.045004
2.303367,3.042774,1.277636
2.948425,1.198643,1.0
2.291846,1.555557,1.0
1.906194,3.987707,2.597746
1.834155,3.995957,2.632871
2.0,1.0,3.0
2.048582,1.047197,2.0
2.948248,3.0,2.429911
2.869436,3.0,2.972426
2.293705,1.0,2.0
2.510583,1.0,2.0
2.0,1.0,3.0
2.0,1.0,3.0
2.0,1.0,3.0
2.0,1.0,3.0
2.0,1.0,3.0
2.366949,3.0,1.926577
2.615788,3.0,1.771781
3.0,1.0,2.0
2.217267,1.193589,2.0
3.0,3.0,2.759246
2.801514,3.0,2.734782
2.188722,3.0,2.721356
2.971351,3.390143,2.133767
2.086093,3.546352,2.081121
1.901611,3.266501,2.926995
1.977298,3.554974,2.217957
2.446872,2.372311,1.81031
2.839048,2.10601,1.639202
2.21232,4.0,2.374044
2.427689,3.715306,2.876096
2.357496,3.376717,2.184843
3.0,1.0,2.0
3.0,1.0,2.0
1.078529,1.211606,2.568063
2.0,3.0,1.333707
2.0,3.0,1.164062
2.0,3.0,2.0
1.064162,3.98955,2.028426
1.993101,3.171082,2.364498
2.620963,3.0,2.824559
2.95118,3.0,3.0
2.021446,3.0,1.077917
2.0,3.0,1.0
2.000466,3.0,1.131448
2.5621,3.105007,1.172427
2.0,3.0,1.040342
2.0,3.0,1.274718
2.96008,1.0,2.0
2.53915,1.590982,1.977801
2.244142,1.704828,1.0
3.0,2.725012,1.62244
2.0,2.372339,1.675733
2.0,1.097312,1.328835
2.253371,3.0,2.756916
2.851664,1.0,2.0
1.31415,1.068196,1.364957
1.321028,1.0,2.0
2.0,1.411685,1.859089
2.253998,2.752318,2.328331
2.778079,3.0,1.696691
2.838037,2.737571,1.144467
3.0,2.973504,2.0
2.814453,2.608055,1.85916
2.013782,2.625942,1.045586
2.0,1.411808,2.651194
2.0,1.095223,2.474132
2.459976,3.30846,2.078011
2.643183,3.821461,2.397124
2.0,3.0,2.813234
2.0,2.658639,2.781628
2.22399,1.0,2.20312
2.104105,3.0,1.871033
1.972545,2.339614,1.711074
2.286481,1.713762,1.797161
2.971588,2.743277,1.394883
2.0,1.0,2.881677
2.0,1.0,2.795651
2.872121,3.051804,2.111913
2.109162,3.245148,1.971774
2.178889,3.563744,1.853991
1.142468,3.0,2.197732
2.047069,3.829101,1.641022
2.843709,3.058539,1.130079
2.416044,3.196043,1.352649
2.0,3.0,1.968011
2.146598,3.0,2.100112
2.0,3.0,1.362642
2.0,1.391778,2.64548
2.0,3.0,2.0
2.0,3.0,2.0
3.0,1.13715,1.000695
1.766849,3.322522,2.616285
1.188089,3.269088,2.039535
1.910176,2.938135,2.943097
2.0,1.259628,3.0
2.956671,2.965494,2.868132
2.002796,3.0,2.526775
2.288604,2.845307,2.638164
2.277077,1.0,2.0
2.138334,1.0,2.0
2.0,1.0,2.976177
2.0,1.0,3.0
2.0,1.0,3.0
2.0,1.0,3.0
2.029634,3.0,1.827515
2.048216,3.0,1.305816
2.8557,1.0,2.663861
2.995599,3.095663,2.568157
2.987148,3.483449,2.359246
2.0,3.0,2.763573
2.0,3.156309,3.0
1.887951,3.728377,2.682107
2.786008,3.0,2.526193
2.0,3.0,2.0
2.342323,3.60885,2.878866
1.874935,3.370362,2.558773
2.213135,3.0,2.046766
2.273548,2.39007,1.648404
2.780699,1.101404,1.579207
1.687569,2.756405,2.079131
2.0,3.0,1.081597
2.0,3.0,1.833055
2.0,3.0,1.281683
1.989905,3.054899,2.080968
1.947405,3.118013,2.136159
2.162519,3.0,2.152666
2.923916,3.335876,2.372444
2.99448,3.0,1.706568
2.0,3.0,1.0
3.0,3.205009,2.643468
2.507841,3.648194,1.279756
1.836554,1.865238,2.0
1.773265,2.118153,1.075239
2.388168,1.0,1.438018
2.286146,2.961113,2.657303
3.0,2.400943,1.509734
2.0,2.870005,1.15031
2.487167,3.0,2.396977
2.185938,1.0,2.81353
2.206399,1.0,2.0
1.952987,1.0,1.334856
2.0,1.030416,2.118716
2.908757,2.696051,1.622827
2.628791,2.762883,1.512035
3.0,2.401341,2.0
2.749629,2.298612,2.0
1.595746,3.618722,1.274389
2.885178,2.562895,1.017006
2.372494,2.849848,1.028538
2.0,2.805436,2.122884
2.153639,3.715148,2.703337
2.793561,3.788602,2.429059
2.0,1.893811,3.0
2.0,1.010319,1.319437
2.992329,3.0,2.004908
2.927409,3.0,2.209991
2.706134,2.669766,1.979848
2.010684,1.322087,2.0
2.0,2.041558,2.38725
2.0,3.0,2.0
2.0,2.468421,2.0
2.0,2.110937,2.175632
2.300408,3.071028,1.738959
2.119643,3.292956,1.723372
2.0,3.0,2.0
2.0,3.0,2.0
2.0,2.283673,1.970622
2.901924,1.124977,2.76382
2.0,2.9948,1.290979
2.451009,3.0,2.0
2.0,2.983297,1.453626
2.754646,3.0,2.957821
2.417635,3.0,1.937674
2.512719,3.0,1.131169
1.771693,1.890213,2.0
1.57223,1.888067,2.0
2.0,3.0,2.0
2.0,2.256119,1.142873
2.0,3.0,2.020424
2.0,2.6648,1.810738
2.661556,3.0,3.0
2.0,3.0,1.18423
2.0,3.0,2.879402
3.0,3.0,1.699971
2.097373,2.547086,1.538626
2.061461,2.812283,3.0
1.317729,2.278652,2.0
1.882235,1.240046,2.0
2.951591,3.0,2.971557
2.067817,3.0,1.082084
2.54527,3.0,2.269564
2.0,1.660768,2.482294
2.0,2.597608,2.0
2.0,3.0,2.0
2.694281,3.0,2.653831
2.0,3.0,2.0
2.821977,2.044035,1.954968
2.0,3.0,1.0
2.0,2.038373,2.0
2.0,1.0,1.0
2.0,1.0,1.0
2.0,1.474836,2.0
2.252472,3.986652,2.0
2.0,2.720642,1.5197
2.0,1.976744,1.628997
3.0,3.0,2.981604
2.033745,3.0,1.517225
3.0,2.679724,1.999737
2.595128,1.619796,1.642251
2.759286,2.59257,2.549617
2.0,1.546665,3.0
3.0,3.339914,2.0
3.0,3.884861,2.0
1.925064,2.358298,2.774043
2.0,3.0,1.774778
2.0,3.0,2.802498
2.846981,3.0,2.87781
2.650629,1.0,1.708083
3.0,1.802305,2.0
2.0,3.0,3.0
2.0,2.7976,2.991671
2.631565,2.627173,2.253422
2.0,1.0,2.0
2.522399,1.032887,2.397653
3.0,3.014808,2.0
2.0,2.271734,2.629043
2.784471,2.122545,2.984153
1.650505,3.0,2.0
1.961347,3.0,2.0
2.133955,2.902766,1.753464
2.684528,1.0,1.05668
2.265973,2.687502,2.0
2.0,3.0,2.205911
3.0,3.0,2.0
2.0,1.178708,1.791286
2.0,3.0,1.117464
1.306844,2.279546,2.0
2.0,2.677693,2.693978
2.258795,3.53009,1.172186
2.0,3.0,2.641642
2.689929,1.835543,1.718569
2.712747,2.853676,1.526313
2.353603,2.337035,1.830614
2.598051,3.0,1.0
1.718156,1.631184,2.0
2.0,3.0,2.0
2.0,1.005391,2.001936
2.795086,3.250467,1.367876
2.0,3.0,2.0
2.030256,2.948721,1.984323
2.0,1.80993,2.174835
2.493448,3.0,1.849997
2.442536,3.0,2.825629
2.003951,3.0,1.207978
1.34138,1.94671,2.0
2.0,2.9796,1.964435
2.0,2.994198,2.747302
