FAVC,FCVC,NCP,CAEC,CH2O,CALC
yes,2.0,1.0,Sometimes,2.0,Sometimes
yes,3.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,1.0,Always,2.0,Sometimes
no,2.0,3.0,Sometimes,3.0,no
yes,2.0,3.0,Sometimes,2.0,Sometimes
yes,3.0,1.0,Frequently,2.0,Sometimes
no,3.0,3.0,Frequently,1.0,no
yes,2.0,3.0,Frequently,2.0,Sometimes
no,3.0,3.0,Sometimes,3.0,Sometimes
yes,2.0,1.0,Sometimes,2.0,Frequently
no,3.0,3.0,Sometimes,1.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,no
yes,3.0,3.0,Always,2.0,Sometimes
no,3.0,3.0,Frequently,2.0,no
no,3.0,3.0,Frequently,3.0,Sometimes
no,2.0,3.0,Sometimes,1.0,Sometimes
no,3.0,3.0,Always,2.0,Sometimes
no,2.0,3.0,Sometimes,2.0,no
yes,2.0,1.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Frequently,1.0,no
yes,2.0,1.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Frequently,2.0,Sometimes
no,3.0,1.0,Sometimes,2.0,Sometimes
no,3.0,3.0,Sometimes,2.0,no
yes,2.0,1.0,no,3.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,no
yes,3.0,1.0,Always,1.0,no
yes,3.0,3.0,Frequently,2.0,Sometimes
yes,3.0,3.0,Frequently,2.0,Frequently
yes,2.0,1.0,no,3.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,no
yes,2.0,3.0,Frequently,1.0,Sometimes
yes,3.0,3.0,Frequently,2.0,no
yes,2.0,1.0,Sometimes,1.0,Sometimes
yes,2.0,1.0,no,3.0,Sometimes
no,3.0,3.0,Sometimes,2.0,Sometimes
no,2.0,3.0,Sometimes,3.0,Frequently
no,2.0,3.0,Sometimes,3.0,no
yes,3.0,1.0,no,3.0,Frequently
yes,2.0,3.0,Sometimes,2.0,no
yes,2.0,3.0,Sometimes,2.0,Sometimes
yes,3.0,1.0,Frequently,2.0,Sometimes
no,3.0,3.0,Sometimes,3.0,Sometimes
no,2.0,1.0,Frequently,3.0,no
yes,3.0,3.0,Frequently,3.0,no
yes,3.0,3.0,Sometimes,2.0,Sometimes
no,2.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,1.0,Frequently,1.0,no
yes,2.0,1.0,Sometimes,1.0,Sometimes
no,3.0,1.0,Sometimes,3.0,Sometimes
yes,2.0,3.0,Always,1.0,Sometimes
yes,3.0,3.0,Sometimes,1.0,Sometimes
no,2.0,3.0,Sometimes,3.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,no
yes,2.0,1.0,Sometimes,2.0,Frequently
yes,2.0,3.0,Frequently,2.0,no
no,2.0,3.0,no,2.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Frequently,2.0,no
yes,2.0,1.0,Sometimes,1.0,no
no,2.0,1.0,Sometimes,2.0,no
yes,3.0,3.0,Sometimes,2.0,no
yes,2.0,3.0,Sometimes,2.0,Sometimes
yes,3.0,3.0,Sometimes,3.0,Sometimes
no,3.0,3.0,Frequently,2.0,Sometimes
no,2.0,3.0,Frequently,3.0,Frequently
no,1.0,1.0,Sometimes,2.0,no
yes,2.0,3.0,Sometimes,3.0,Sometimes
no,2.0,3.0,Frequently,2.0,Frequently
yes,2.0,1.0,Sometimes,1.0,Sometimes
yes,3.0,4.0,Always,3.0,no
yes,3.0,3.0,Frequently,3.0,no
yes,2.0,1.0,Sometimes,2.0,no
no,3.0,3.0,Sometimes,3.0,Sometimes
yes,2.0,3.0,Sometimes,1.0,no
yes,3.0,3.0,Sometimes,2.0,Sometimes
no,3.0,3.0,Sometimes,3.0,no
no,3.0,3.0,Sometimes,3.0,no
yes,3.0,4.0,Sometimes,3.0,Sometimes
yes,3.0,1.0,Sometimes,3.0,Sometimes
no,3.0,3.0,Sometimes,3.0,no
no,3.0,1.0,Sometimes,2.0,Sometimes
yes,2.0,1.0,no,2.0,no
no,2.0,1.0,no,2.0,no
yes,1.0,3.0,Always,2.0,no
yes,3.0,3.0,Sometimes,1.0,no
yes,3.0,1.0,Sometimes,3.0,no
yes,3.0,3.0,no,3.0,no
yes,2.0,1.0,Sometimes,3.0,no
yes,3.0,3.0,Sometimes,2.0,no
yes,1.0,3.0,Always,2.0,no
yes,2.0,3.0,Sometimes,3.0,Sometimes
no,2.0,1.0,Sometimes,2.0,Sometimes
no,3.0,3.0,Sometimes,2.0,Sometimes
yes,3.0,3.0,Sometimes,3.0,Sometimes
yes,3.0,3.0,Frequently,1.0,no
yes,3.0,3.0,Always,3.0,Sometimes
yes,3.0,1.0,Sometimes,2.0,Sometimes
yes,3.0,1.0,Sometimes,2.0,no
no,2.0,1.0,Sometimes,3.0,Frequently
no,2.0,3.0,Sometimes,2.0,Frequently
yes,2.0,1.0,Sometimes,2.0,Sometimes
no,3.0,3.0,Sometimes,2.0,no
no,1.0,3.0,Sometimes,2.0,no
no,2.0,3.0,Sometimes,3.0,Sometimes
no,2.0,3.0,Sometimes,3.0,no
no,3.0,1.0,Sometimes,1.0,no
yes,1.0,3.0,Frequently,1.0,Sometimes
yes,2.0,3.0,Sometimes,1.0,no
no,2.0,3.0,Frequently,2.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Frequently,1.0,no
yes,3.0,3.0,Frequently,3.0,Sometimes
yes,1.0,3.0,Frequently,1.0,Sometimes
yes,3.0,4.0,Frequently,2.0,Sometimes
yes,3.0,3.0,Frequently,2.0,Frequently
no,2.0,4.0,Always,2.0,no
yes,2.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Sometimes,3.0,Sometimes
yes,2.0,3.0,Frequently,1.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,no
yes,2.0,3.0,Frequently,2.0,Sometimes
no,2.0,3.0,Sometimes,1.0,Sometimes
yes,3.0,3.0,Frequently,2.0,Sometimes
yes,2.0,1.0,Frequently,3.0,no
yes,2.0,4.0,Always,3.0,Sometimes
yes,3.0,3.0,Sometimes,2.0,Sometimes
no,3.0,3.0,Sometimes,2.0,Sometimes
yes,3.0,4.0,Frequently,2.0,Sometimes
yes,2.0,3.0,Frequently,2.0,Sometimes
yes,2.0,3.0,Frequently,1.0,no
no,2.0,3.0,Sometimes,3.0,Sometimes
yes,1.0,1.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Always,1.0,Sometimes
yes,2.0,3.0,Sometimes,1.0,Sometimes
yes,2.0,3.0,Sometimes,3.0,no
yes,3.0,3.0,Sometimes,1.0,no
no,2.0,3.0,Sometimes,3.0,Sometimes
yes,2.0,3.0,Frequently,2.0,Sometimes
yes,2.0,3.0,Frequently,2.0,no
yes,2.0,3.0,Frequently,1.0,no
no,2.0,3.0,Frequently,2.0,no
yes,2.0,1.0,Sometimes,2.0,Sometimes
no,2.0,1.0,Sometimes,1.0,no
yes,3.0,3.0,Sometimes,2.0,Sometimes
no,2.0,3.0,Sometimes,2.0,no
yes,2.0,3.0,Frequently,1.0,Frequently
yes,3.0,3.0,Sometimes,3.0,Sometimes
yes,2.0,3.0,Sometimes,1.0,Sometimes
yes,2.0,4.0,Sometimes,2.0,Sometimes
yes,3.0,3.0,Always,3.0,Sometimes
yes,2.0,4.0,Always,2.0,Sometimes
no,2.0,3.0,Sometimes,3.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,Sometimes
yes,1.0,3.0,Always,2.0,Sometimes
yes,2.0,1.0,Frequently,1.0,Sometimes
yes,3.0,4.0,Always,3.0,Sometimes
no,2.0,1.0,Sometimes,1.0,no
yes,2.0,4.0,Frequently,2.0,no
yes,2.0,3.0,Always,2.0,no
yes,3.0,3.0,Sometimes,1.0,no
yes,1.0,3.0,Always,2.0,Sometimes
yes,3.0,3.0,Sometimes,1.0,no
yes,2.0,3.0,Always,2.0,Sometimes
no,3.0,3.0,Frequently,1.0,no
yes,3.0,4.0,Sometimes,2.0,no
yes,2.0,3.0,Sometimes,1.0,Sometimes
yes,2.0,3.0,Sometimes,1.0,Sometimes
yes,3.0,1.0,Always,2.0,no
no,3.0,3.0,Frequently,1.0,no
no,3.0,3.0,Frequently,2.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Sometimes,1.0,Sometimes
yes,2.0,1.0,Sometimes,1.0,Sometimes
yes,3.0,3.0,Sometimes,2.0,Sometimes
no,3.0,4.0,Frequently,1.0,Sometimes
no,3.0,1.0,Sometimes,3.0,Sometimes
yes,3.0,3.0,Sometimes,1.0,Sometimes
yes,3.0,4.0,Frequently,1.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,no
yes,2.0,1.0,Sometimes,2.0,no
no,3.0,4.0,Always,3.0,no
yes,2.0,3.0,Frequently,2.0,Frequently
yes,1.0,4.0,Frequently,1.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,no
yes,3.0,3.0,Frequently,2.0,no
yes,3.0,1.0,Sometimes,2.0,Sometimes
no,2.0,3.0,Sometimes,1.0,Frequently
yes,3.0,3.0,Sometimes,2.0,no
no,2.0,3.0,Sometimes,1.0,Sometimes
yes,3.0,3.0,Sometimes,2.0,Sometimes
no,3.0,3.0,Sometimes,2.0,no
yes,3.0,3.0,Frequently,2.0,Sometimes
yes,3.0,3.0,Always,2.0,Sometimes
no,3.0,3.0,Always,1.0,no
yes,2.0,3.0,Sometimes,3.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,no
yes,2.0,3.0,Always,3.0,Sometimes
no,2.0,3.0,Sometimes,1.0,Sometimes
no,3.0,4.0,Always,2.0,no
yes,1.0,3.0,Sometimes,1.0,Sometimes
yes,1.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,no
yes,3.0,1.0,Sometimes,1.0,Sometimes
no,3.0,3.0,Sometimes,2.0,no
yes,1.0,3.0,Sometimes,1.0,no
no,2.0,1.0,Sometimes,1.0,Frequently
no,2.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Frequently,1.0,Sometimes
yes,2.0,1.0,Sometimes,2.0,no
no,3.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,1.0,Sometimes,2.0,Sometimes
yes,2.0,1.0,Always,2.0,Sometimes
yes,3.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,1.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Frequently,2.0,Sometimes
yes,2.0,1.0,Sometimes,2.0,no
no,3.0,3.0,Frequently,2.0,Sometimes
yes,2.0,3.0,Sometimes,1.0,no
yes,3.0,1.0,Always,2.0,Sometimes
yes,3.0,3.0,Sometimes,1.0,no
yes,2.0,1.0,Sometimes,2.0,Sometimes
yes,2.0,4.0,Frequently,2.0,Sometimes
yes,2.0,1.0,Frequently,3.0,Sometimes
no,3.0,3.0,Sometimes,1.0,Sometimes
no,2.0,4.0,Frequently,2.0,Sometimes
yes,3.0,3.0,Frequently,1.0,Sometimes
yes,3.0,3.0,Sometimes,2.0,Sometimes
yes,3.0,3.0,Sometimes,3.0,no
yes,3.0,3.0,Frequently,1.0,Sometimes
no,2.0,3.0,Frequently,1.0,Sometimes
no,2.0,3.0,Sometimes,2.0,Sometimes
yes,3.0,1.0,Sometimes,1.0,no
yes,2.0,3.0,Frequently,2.0,no
no,1.0,3.0,Sometimes,1.0,no
yes,2.0,3.0,Frequently,1.0,Sometimes
no,2.0,3.0,Sometimes,3.0,no
yes,1.0,1.0,Sometimes,2.0,no
yes,2.0,3.0,Always,3.0,no
no,2.0,3.0,Sometimes,2.0,Sometimes
no,3.0,3.0,Frequently,3.0,no
yes,1.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Sometimes,1.0,no
yes,1.0,3.0,Sometimes,2.0,Sometimes
no,3.0,3.0,Sometimes,1.0,Frequently
yes,2.0,4.0,Frequently,3.0,no
yes,3.0,1.0,Always,1.0,Sometimes
no,3.0,1.0,Frequently,1.0,Sometimes
no,2.0,3.0,Sometimes,2.0,no
yes,2.0,3.0,Always,2.0,Sometimes
yes,3.0,1.0,Frequently,2.0,Sometimes
no,3.0,3.0,Sometimes,3.0,no
yes,2.0,3.0,Sometimes,2.0,Sometimes
no,3.0,3.0,Sometimes,2.0,no
no,2.0,3.0,Sometimes,2.0,Sometimes
yes,3.0,3.0,Frequently,1.0,Sometimes
no,3.0,1.0,Sometimes,2.0,Sometimes
yes,3.0,1.0,Sometimes,3.0,Sometimes
no,2.0,3.0,Sometimes,2.0,no
no,3.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Frequently,2.0,Sometimes
no,2.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,1.0,Always,2.0,Frequently
yes,3.0,3.0,Sometimes,3.0,no
yes,3.0,3.0,Sometimes,1.0,no
yes,3.0,3.0,Sometimes,2.0,Frequently
yes,3.0,3.0,Sometimes,2.0,Sometimes
yes,1.0,3.0,Sometimes,1.0,Sometimes
yes,3.0,4.0,Sometimes,2.0,Sometimes
yes,3.0,4.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Sometimes,1.0,Sometimes
no,2.0,3.0,Sometimes,1.0,Sometimes
yes,2.0,3.0,Always,2.0,Sometimes
no,2.0,3.0,Sometimes,3.0,no
yes,3.0,3.0,no,2.0,Sometimes
yes,3.0,1.0,Frequently,1.0,Sometimes
yes,2.0,3.0,Frequently,1.0,Sometimes
yes,2.0,3.0,Sometimes,1.0,Sometimes
yes,2.0,4.0,Frequently,2.0,Sometimes
yes,3.0,3.0,Frequently,1.0,no
yes,2.0,3.0,Sometimes,1.0,Sometimes
yes,2.0,4.0,Frequently,2.0,Frequently
yes,2.0,1.0,Sometimes,3.0,no
yes,2.0,3.0,Sometimes,1.0,Frequently
yes,2.0,1.0,Always,2.0,Sometimes
yes,3.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Frequently,2.0,Sometimes
yes,2.0,3.0,Sometimes,1.0,no
yes,3.0,3.0,Frequently,1.0,no
yes,2.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,1.0,Sometimes,2.0,Sometimes
yes,2.0,4.0,Sometimes,1.0,Sometimes
yes,3.0,3.0,Frequently,2.0,Sometimes
yes,2.0,4.0,Sometimes,2.0,Sometimes
yes,3.0,1.0,Sometimes,1.0,Sometimes
yes,1.0,3.0,Sometimes,2.0,Sometimes
yes,3.0,3.0,Sometimes,2.0,Sometimes
no,2.0,3.0,Frequently,2.0,no
no,3.0,3.0,no,2.0,Sometimes
yes,3.0,3.0,Sometimes,1.0,Sometimes
yes,3.0,1.0,Sometimes,1.0,no
yes,2.0,3.0,Frequently,1.0,Sometimes
yes,3.0,1.0,Frequently,2.0,no
yes,2.0,3.0,Sometimes,1.0,Sometimes
yes,2.0,3.0,Always,1.0,Sometimes
yes,2.0,3.0,Frequently,3.0,Frequently
yes,2.0,3.0,Frequently,1.0,no
yes,2.0,1.0,Sometimes,2.0,no
yes,2.0,1.0,Always,2.0,Sometimes
no,2.0,3.0,Sometimes,1.0,Sometimes
no,3.0,4.0,Always,2.0,Sometimes
yes,2.0,3.0,Frequently,1.0,Sometimes
yes,3.0,3.0,Frequently,1.0,no
yes,3.0,3.0,Frequently,1.0,no
yes,3.0,3.0,Frequently,1.0,Sometimes
yes,3.0,1.0,Sometimes,2.0,no
yes,2.0,3.0,Frequently,2.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,no
no,3.0,4.0,Frequently,2.0,no
yes,1.0,3.0,Frequently,1.0,Sometimes
yes,2.0,3.0,Sometimes,1.0,no
no,2.0,1.0,Sometimes,1.0,no
yes,3.0,3.0,Sometimes,2.0,no
yes,3.0,3.0,Frequently,1.0,no
yes,2.0,3.0,Frequently,1.0,Sometimes
yes,1.0,4.0,Frequently,2.0,Sometimes
yes,2.0,3.0,Sometimes,1.0,Sometimes
yes,3.0,4.0,Sometimes,1.0,Sometimes
yes,2.0,1.0,Frequently,2.0,Sometimes
yes,2.0,3.0,Sometimes,1.0,no
yes,2.0,3.0,Sometimes,1.0,no
yes,1.0,3.0,Always,2.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,Frequently
no,2.0,3.0,Sometimes,3.0,no
yes,3.0,3.0,Sometimes,3.0,Sometimes
yes,2.0,1.0,Sometimes,1.0,no
yes,3.0,3.0,no,2.0,Sometimes
yes,2.0,3.0,Sometimes,1.0,Sometimes
yes,3.0,3.0,Frequently,1.0,no
yes,2.0,3.0,Frequently,1.0,Sometimes
yes,3.0,3.0,Sometimes,2.0,Sometimes
yes,3.0,1.0,Always,1.0,no
yes,2.0,3.0,Sometimes,2.0,Sometimes
no,2.0,3.0,Sometimes,2.0,Sometimes
yes,3.0,3.0,Sometimes,1.152736,Sometimes
yes,3.0,3.0,Sometimes,1.115967,Sometimes
yes,3.0,3.0,Sometimes,2.704507,Sometimes
yes,3.0,3.0,Sometimes,2.184707,Sometimes
yes,3.0,3.0,Sometimes,2.406541,Sometimes
yes,3.0,3.0,Sometimes,2.984323,Sometimes
yes,3.0,3.0,Sometimes,2.444125,Sometimes
yes,3.0,3.0,Sometimes,2.654702,Sometimes
yes,3.0,3.0,Sometimes,2.825629,Sometimes
yes,2.0,3.28926,Sometimes,2.847264,Sometimes
yes,2.0,4.0,Sometimes,2.884033,Sometimes
yes,2.450218,3.995147,Sometimes,2.147746,Sometimes
yes,3.0,3.0,Frequently,2.815293,no
yes,3.0,3.0,Frequently,2.593459,no
yes,2.880161,3.0,Frequently,1.031354,no
no,3.0,1.72626,Frequently,2.444125,no
no,3.0,2.581015,Frequently,2.654702,no
no,3.0,1.600812,Frequently,2.651258,no
no,2.00876,1.73762,Frequently,1.792022,no
no,2.596579,1.10548,Frequently,1.490613,no
no,2.591439,3.0,Frequently,2.074048,no
yes,3.0,3.0,Sometimes,3.0,no
yes,3.0,2.0846,Sometimes,2.13755,no
yes,3.0,1.894384,Sometimes,2.456581,no
yes,2.392665,1.0,Frequently,1.0,Sometimes
yes,3.0,1.0,Frequently,1.0,Sometimes
yes,3.0,2.857787,Frequently,1.0,Sometimes
yes,3.0,1.0,Frequently,1.527036,Sometimes
yes,3.0,1.0,Frequently,1.322669,Sometimes
yes,3.0,1.0,Frequently,1.0,Sometimes
no,3.0,3.765526,Frequently,1.656082,Sometimes
no,3.0,3.285167,Frequently,1.569082,Sometimes
no,1.123939,4.0,Frequently,1.0,Sometimes
yes,3.0,3.0,Sometimes,2.843777,Sometimes
yes,3.0,3.691226,Sometimes,2.650989,Sometimes
yes,3.0,3.0,Sometimes,2.027984,Sometimes
yes,3.0,3.0,Frequently,2.0,no
yes,3.0,3.156153,Frequently,1.253803,no
yes,3.0,3.0,Frequently,2.0,no
yes,2.0,1.07976,Sometimes,1.0,Sometimes
yes,2.027574,1.0,Sometimes,1.636326,Sometimes
yes,2.658112,1.0,Sometimes,1.298165,Sometimes
no,2.88626,3.559841,Frequently,1.632004,Sometimes
no,2.714447,3.0,Frequently,2.0,Sometimes
no,2.750715,3.0,Frequently,2.0,Sometimes
yes,2.0,3.0,Frequently,2.099863,no
yes,2.0,3.891994,Frequently,1.86393,no
yes,2.0,3.0,Frequently,1.229915,no
yes,1.4925,3.0,Sometimes,1.049134,Sometimes
yes,1.0,3.240578,Sometimes,1.0,Sometimes
yes,2.205439,3.0,Sometimes,1.530531,Sometimes
yes,2.059138,3.904858,Frequently,2.0,no
yes,3.0,3.11158,Frequently,2.721769,no
yes,3.0,3.590039,Frequently,2.7305,no
yes,2.0,2.057935,Sometimes,2.371015,Sometimes
yes,2.310423,3.558637,Sometimes,1.787843,Sometimes
yes,2.0,2.000986,Sometimes,2.673835,Sometimes
yes,2.823179,3.0,Sometimes,1.773236,Sometimes
yes,2.052932,3.0,Sometimes,2.0,Sometimes
yes,2.596364,3.0,Sometimes,2.0,Sometimes
yes,2.767731,3.821168,Sometimes,2.0,no
yes,2.0,3.897078,Sometimes,2.622638,no
yes,2.0,3.092116,Sometimes,2.426465,no
yes,2.815157,3.0,Sometimes,2.911187,Sometimes
yes,2.737762,3.0,Sometimes,2.310921,Sometimes
yes,3.0,3.286431,Sometimes,2.148146,Sometimes
yes,2.568063,4.0,Sometimes,2.0,no
